x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
2949,-235,617,2961,-239,606,301,19552048,50045944,55,23,263656,
2957,-224,614,2960,-238,605,301,19552048,50045944,55,23,263058,
2962,-231,605,2960,-238,606,301,19552048,50045944,55,23,263058,
2968,-238,599,2961,-239,606,301,19552048,50045944,55,23,263058,
2972,-242,591,2960,-239,606,301,19552048,50045944,55,23,262546,
2949,-234,619,2960,-239,606,301,19552048,50045944,55,23,263058,
2961,-239,605,2960,-239,606,301,19552048,50045944,55,23,262802,
2966,-234,601,2961,-238,606,301,19552048,50045944,55,23,263058,
2960,-237,609,2961,-239,605,301,19552048,50045944,55,23,263400,
2981,-235,588,2961,-238,605,301,19552048,50045944,55,23,263058,
2967,-237,601,2960,-238,605,301,19552048,50045944,55,23,263058,
2952,-224,625,2959,-238,606,301,19552048,50045944,55,23,263656,
2981,-232,590,2960,-238,606,301,19552048,50045944,55,23,263656,
2953,-239,613,2961,-238,605,301,19552048,50045944,55,23,263400,
2967,-237,600,2961,-238,605,301,19552048,50045944,55,23,262802,
2966,-239,597,2961,-238,605,301,19552048,50045944,55,23,263400,
2962,-227,610,2961,-238,605,301,19552048,50045944,55,23,262546,
2966,-242,597,2960,-238,605,301,19552048,50045944,55,23,263656,
2962,-239,603,2960,-238,605,301,19552048,50045944,55,23,263400,
2963,-225,606,2960,-238,605,301,19552048,50045944,55,23,263656,
2969,-236,596,2960,-239,605,301,19552048,50045944,55,23,263656,
2955,-237,607,2961,-239,605,301,19552048,50045944,55,23,263656,
2960,-225,613,2960,-239,605,301,19552048,50045944,55,23,263656,
2972,-246,587,2961,-239,605,301,19552048,50045944,55,23,263656,
2958,-230,609,2960,-239,605,301,19552048,50045944,55,23,263400,
2971,-230,598,2960,-239,605,301,19552048,50045944,55,23,262802,
2966,-244,597,2960,-238,605,301,19552048,50045944,55,23,263058,
2954,-226,617,2961,-239,605,301,19552048,50045944,55,23,263400,
2954,-230,616,2961,-238,605,301,19552048,50045944,55,23,263656,
2966,-226,607,2960,-239,605,301,19552048,50045944,55,23,262546,
2958,-230,612,2961,-238,605,301,19552048,50045944,55,23,263656,
2963,-233,606,2960,-239,605,301,19552048,50045944,55,23,263058,
2960,-228,612,2960,-238,605,301,19552048,50045944,55,23,263058,
2964,-225,609,2960,-238,605,301,19552048,50045944,55,23,263656,
2971,-229,600,2960,-238,605,301,19552048,50045944,55,23,263912,
2958,-231,612,2960,-238,605,301,19552048,50045944,55,23,263912,
2981,-245,583,2960,-238,605,301,19552048,50045944,55,23,263400,
2964,-221,613,2960,-238,605,301,19552048,50045944,55,23,263656,
2953,-223,620,2961,-238,605,301,19552048,50045944,55,23,263400,
2958,-237,608,2961,-238,605,301,19552048,50045944,55,23,263912,
2951,-241,612,2961,-238,604,301,19552048,50045944,55,23,263058,
2956,-228,612,2961,-237,604,301,19552048,50045944,55,23,263058,
2966,-231,604,2961,-237,604,301,19552048,50045944,55,23,263656,
2973,-236,593,2961,-238,604,301,19552048,50045944,55,23,263058,
2962,-231,607,2961,-238,604,301,19552048,50045944,55,23,263912,
2968,-241,594,2961,-238,605,301,19552048,50045944,523,50,263656,
