x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
-757,23,-1364,-760,10,-1291,0,0,0,0,0,205834,
-765,23,-1359,-760,10,-1292,0,0,0,0,0,205579,
-751,19,-1358,-760,11,-1293,0,0,0,0,0,205834,
-760,15,-1339,-760,10,-1294,0,0,0,0,0,205324,
-774,11,-1312,-760,10,-1296,0,0,0,0,0,205324,
-760,19,-1352,-760,11,-1297,0,0,0,0,0,206088,
-760,0,-1287,-760,10,-1298,0,0,0,0,0,205324,
-760,19,-1352,-759,10,-1299,0,0,0,0,0,205834,
-762,19,-1350,-760,10,-1300,0,0,0,0,0,206088,
-768,23,-1359,-760,11,-1301,0,0,0,0,0,205324,
-765,15,-1336,-759,11,-1302,0,0,0,0,0,206088,
-774,15,-1325,-759,10,-1303,0,0,0,0,0,206088,
-749,19,-1360,-758,11,-1304,0,0,0,0,0,205579,
-760,23,-1366,-758,11,-1305,0,0,0,0,0,205324,
-765,23,-1362,-758,12,-1306,0,0,0,0,0,205324,
-760,19,-1356,-758,12,-1307,0,0,0,0,0,205324,
-785,7,-1291,-757,10,-1308,0,0,0,0,0,205579,
-774,19,-1343,-757,11,-1309,0,0,0,0,0,205069,
-734,30,-1403,-757,12,-1310,0,0,0,0,0,205579,
-779,-11,-1221,-757,12,-1311,0,0,0,0,0,205834,
-760,7,-1309,-757,12,-1312,0,0,0,0,0,205324,
-768,7,-1305,-757,12,-1313,0,0,0,0,0,205579,
-762,3,-1298,-758,12,-1314,0,0,0,0,0,205579,
-759,15,-1339,-758,12,-1315,0,0,0,0,0,205834,
-751,19,-1359,-757,12,-1316,0,0,0,0,0,205069,
-757,7,-1316,-758,13,-1317,0,0,0,0,0,205834,
-768,23,-1360,-758,13,-1318,0,0,0,0,0,205834,
-754,15,-1346,-758,13,-1319,0,0,0,0,0,205324,
-757,7,-1315,-758,13,-1320,0,0,0,0,0,205579,
-760,11,-1324,-757,13,-1321,0,0,0,0,0,205324,
-746,11,-1336,-757,13,-1322,0,0,0,0,0,205579,
-757,19,-1355,-758,13,-1323,0,0,0,0,0,205579,
-757,19,-1355,-757,14,-1323,0,0,0,0,0,206088,
-746,15,-1351,-757,14,-1324,0,0,0,0,0,206088,
-760,7,-1313,-757,14,-1325,0,0,0,0,0,205579,
-760,19,-1350,-758,14,-1326,0,0,0,0,0,206428,
-755,7,-1314,-758,14,-1327,0,0,0,0,0,205834,
-752,7,-1323,-758,13,-1328,0,0,0,0,0,206683,
-768,11,-1316,-758,14,-1329,0,0,0,0,0,207193,
-751,15,-1346,-758,14,-1329,0,0,0,0,0,206683,
-757,7,-1315,-758,14,-1330,0,0,0,0,0,206938,
-759,15,-1339,-757,14,-1331,0,0,0,0,0,206938,
-777,11,-1308,-758,15,-1332,0,0,0,0,0,206938,
-765,23,-1360,-758,15,-1333,0,0,0,0,0,207448,
-762,11,-1323,-758,15,-1333,0,0,0,0,0,206428,
-740,11,-1342,-758,15,-1334,0,0,0,0,0,206088,
-752,11,-1333,-759,15,-1335,0,0,0,0,0,206938,
-763,23,-1364,-760,16,-1336,0,0,0,0,0,206683,
-779,7,-1294,-759,16,-1336,0,0,0,0,0,207448,
-765,15,-1339,-760,16,-1337,0,0,0,0,0,206428,
-771,0,-1278,-759,15,-1338,0,0,0,0,0,206938,
-771,19,-1345,-759,15,-1339,0,0,0,0,0,206428,
-760,19,-1354,-758,16,-1339,0,0,0,0,0,207448,
-757,19,-1355,-759,16,-1340,0,0,0,0,0,207448,
-746,19,-1365,-759,16,-1341,0,0,0,0,0,206428,
-763,3,-1298,-759,16,-1341,0,0,0,0,0,206938,
-768,23,-1362,-759,16,-1342,0,0,0,0,0,206938,
-757,7,-1313,-758,16,-1343,0,0,0,0,0,207193,
-768,19,-1346,-758,16,-1343,0,0,0,0,0,207448,
-757,-7,-1261,-758,17,-1344,0,0,0,0,0,207448,
-760,15,-1338,-759,17,-1345,0,0,0,0,0,206938,
-757,19,-1356,-759,18,-1345,0,0,0,0,0,207448,
-774,19,-1340,-759,17,-1346,0,0,0,0,0,207448,
-768,19,-1346,-760,17,-1347,0,0,0,0,0,206938,
-763,27,-1376,-760,18,-1347,0,0,0,0,0,206938,
-777,43,-1423,-760,18,-1348,0,0,0,0,0,207193,
-743,19,-1363,-759,19,-1348,0,0,0,0,0,206938,
-760,27,-1380,-759,18,-1349,0,0,0,0,0,207702,
-752,-3,-1281,-759,18,-1350,0,0,0,0,0,206938,
-751,3,-1311,-758,18,-1350,0,0,0,0,0,207193,
-730,14,-1355,-758,18,-1351,0,0,0,0,0,207193,
-746,23,-1374,-758,18,-1351,0,0,0,0,0,206938,
-771,19,-1344,-758,18,-1352,0,0,0,0,0,207957,
-748,11,-1334,-758,18,-1353,0,0,0,0,0,207957,
-763,15,-1334,-759,18,-1353,0,0,0,0,0,207957,
-754,19,-1356,-758,18,-1354,0,0,0,0,0,207448,
-762,19,-1348,-758,18,-1354,0,0,0,0,0,207448,
-768,19,-1343,-758,17,-1355,0,0,0,0,0,208212,
-762,19,-1348,-758,18,-1355,0,0,0,0,0,207448,
-771,7,-1301,-758,18,-1355,0,0,0,0,0,206938,
-762,15,-1336,-758,18,-1356,0,0,0,0,0,207702,
-765,15,-1334,-759,18,-1356,0,0,0,0,0,207448,
-762,11,-1321,-760,18,-1357,0,0,0,0,0,207957,
-760,7,-1312,-759,18,-1357,0,0,0,0,0,207448,
-751,15,-1347,-758,18,-1358,0,0,0,0,0,207448,
-774,11,-1312,-758,19,-1358,0,0,0,0,0,208466,
-746,7,-1324,-758,19,-1358,0,0,0,0,0,207957,
-752,19,-1359,-758,19,-1359,0,0,0,0,0,208466,
-748,15,-1349,-758,19,-1359,0,0,0,0,0,207957,
-765,19,-1350,-758,19,-1360,0,0,0,0,0,207957,
-763,3,-1297,-758,19,-1360,0,0,0,0,0,207702,
-749,11,-1333,-757,19,-1360,0,0,0,0,0,207448,
-760,19,-1351,-757,19,-1361,0,0,0,0,0,207193,
-762,15,-1338,-757,19,-1361,0,0,0,0,0,207448,
-743,27,-1386,-757,19,-1362,0,0,0,0,0,208212,
-763,23,-1361,-757,19,-1362,0,0,0,0,0,207702,
-765,23,-1361,-758,19,-1362,0,0,0,0,0,207957,
-755,7,-1315,-758,19,-1362,0,0,0,0,0,207702,
-757,3,-1300,-758,19,-1363,0,0,0,0,0,207702,
-754,7,-1314,-758,20,-1363,0,0,0,0,0,207702,
-760,19,-1349,-758,20,-1363,0,0,0,0,0,208212,
-749,11,-1333,-758,20,-1364,0,0,0,0,0,208212,
-760,11,-1326,-758,19,-1364,0,0,0,0,0,207702,
-763,3,-1296,-758,20,-1364,0,0,0,0,0,207448,
-757,11,-1328,-758,20,-1365,0,0,0,0,0,207448,
-774,19,-1339,-758,20,-1365,0,0,0,0,0,207957,
-757,11,-1331,-759,20,-1365,0,0,0,0,0,208466,
-751,27,-1382,-757,20,-1365,0,0,0,0,0,207957,
-777,3,-1282,-757,20,-1366,0,0,0,0,0,207702,
-752,19,-1358,-757,19,-1366,0,0,0,0,0,207448,
-763,7,-1309,-757,19,-1366,0,0,0,0,0,207957,
-771,31,-1386,-757,19,-1366,0,0,0,0,0,207957,
-757,11,-1327,-757,19,-1366,0,0,0,0,0,207957,
-763,7,-1305,-757,19,-1367,0,0,0,0,0,208212,
-732,3,-1318,-757,19,-1367,0,0,0,0,0,207448,
-774,31,-1386,-756,19,-1367,0,0,0,0,0,207448,
-749,15,-1345,-757,20,-1367,0,0,0,0,0,206938,
-754,27,-1381,-757,20,-1367,0,0,0,0,0,207957,
-765,15,-1334,-758,20,-1368,0,0,0,0,0,207448,
-760,0,-1286,-758,19,-1368,0,0,0,0,0,207957,
-771,7,-1301,-758,20,-1368,0,0,0,0,0,208212,
-765,19,-1347,-757,20,-1368,0,0,0,0,0,208212,
-768,11,-1321,-758,20,-1368,0,0,0,0,0,207957,
-757,15,-1342,-758,21,-1369,0,0,0,0,0,207957,
-751,7,-1318,-758,21,-1369,0,0,0,0,0,207702,
-771,3,-1288,-758,21,-1369,0,0,0,0,0,207957,
-771,23,-1360,-757,21,-1369,0,0,0,0,0,208721,
-746,27,-1386,-757,21,-1369,0,0,0,0,0,207448,
-754,19,-1358,-758,21,-1369,0,0,0,0,0,207957,
-765,11,-1323,-758,20,-1370,0,0,0,0,0,207448,
-765,3,-1295,-758,20,-1370,0,0,0,0,0,207702,
-762,27,-1380,-757,20,-1370,0,0,0,0,0,208212,
-762,15,-1335,-757,20,-1370,0,0,0,0,0,208212,
-760,15,-1334,-757,20,-1370,0,0,0,0,0,207957,
-765,11,-1321,-757,21,-1370,0,0,0,0,0,207957,
-757,23,-1369,-758,21,-1370,0,0,0,0,0,207702,
-757,15,-1338,-758,20,-1370,0,0,0,0,0,208212,
-752,15,-1344,-757,21,-1370,0,0,0,0,0,207957,
-757,19,-1354,-758,21,-1371,0,0,0,0,0,208466,
-760,23,-1363,-757,21,-1371,0,0,0,0,0,207957,
-765,19,-1348,-757,20,-1371,0,0,0,0,0,207702,
-757,23,-1367,-757,21,-1371,0,0,0,0,0,207957,
-760,19,-1351,-757,20,-1371,0,0,0,0,0,207957,
-757,11,-1326,-757,20,-1371,0,0,0,0,0,208212,
-763,19,-1351,-756,20,-1371,0,0,0,0,0,208212,
-768,11,-1321,-756,20,-1371,0,0,0,0,0,208466,
-749,30,-1401,-757,20,-1371,0,0,0,0,0,208212,
-765,11,-1324,-757,20,-1371,0,0,0,0,0,208721,
-763,31,-1392,-756,21,-1371,0,0,0,0,0,208212,
-757,27,-1384,-756,21,-1371,0,0,0,0,0,209231,
-757,23,-1370,-756,20,-1371,0,0,0,0,0,208466,
-754,15,-1344,-756,20,-1371,0,0,0,0,0,208721,
-754,23,-1370,-755,20,-1371,0,0,0,0,0,208976,
-748,27,-1386,-756,20,-1371,0,0,0,0,0,208466,
-748,15,-1345,-757,20,-1371,0,0,0,0,0,207957,
-763,27,-1375,-757,20,-1371,0,0,0,0,0,208721,
-757,23,-1365,-758,20,-1371,0,0,0,0,0,208976,
-771,11,-1313,-757,20,-1371,0,0,0,0,0,208721,
-771,27,-1371,-757,21,-1371,0,0,0,0,0,208466,
-762,19,-1352,-758,21,-1371,0,0,0,0,0,209231,
-743,15,-1351,-758,21,-1371,0,0,0,0,0,208976,
-743,-7,-1280,-758,20,-1371,0,0,0,0,0,208466,
